epoch,train_loss,val_loss,lr
1,2.31220313e-02,4.90841354e-02,1.00e-03
2,5.24777742e-04,2.64099358e-03,9.97e-04
3,1.64104639e-04,1.58432663e-04,9.89e-04
4,8.98604732e-05,8.70126275e-05,9.76e-04
5,5.71208915e-05,5.82715307e-05,9.57e-04
6,3.92580686e-05,4.16053046e-05,9.33e-04
7,2.96566174e-05,2.93081283e-05,9.05e-04
8,2.31795325e-05,2.27165660e-05,8.72e-04
9,1.91207970e-05,1.86149708e-05,8.35e-04
10,1.63432185e-05,1.67350562e-05,7.94e-04
11,1.47003746e-05,1.41863567e-05,7.50e-04
12,1.32321245e-05,1.47033987e-05,7.03e-04
13,1.33225596e-05,1.40470286e-05,6.55e-04
14,1.17222554e-05,1.09280779e-05,6.04e-04
15,1.12606168e-05,1.16790712e-05,5.52e-04
16,1.04974043e-05,9.37848096e-06,5.00e-04
17,8.76823702e-06,8.61829724e-06,4.48e-04
18,8.88957186e-06,8.28200935e-06,3.96e-04
19,8.17952366e-06,7.74228570e-06,3.45e-04
20,8.00079253e-06,7.53192938e-06,2.97e-04
21,7.51024585e-06,7.05082002e-06,2.50e-04
22,7.28007913e-06,6.99667004e-06,2.06e-04
23,6.67425684e-06,6.54044919e-06,1.65e-04
24,6.97154436e-06,6.47460264e-06,1.28e-04
25,7.29135843e-06,6.57525346e-06,9.55e-05
26,6.68632405e-06,6.29363518e-06,6.70e-05
27,6.29395187e-06,6.15965710e-06,4.32e-05
28,6.27110965e-06,6.12284519e-06,2.45e-05
29,6.42850774e-06,6.11491350e-06,1.09e-05
30,6.79200723e-06,6.14888986e-06,2.74e-06
