epoch,train_loss,val_loss,lr
1,2.14136627e-02,4.38918258e-02,1.00e-03
2,3.93109884e-04,4.43383582e-03,9.97e-04
3,1.18303426e-04,1.22098772e-04,9.89e-04
4,6.17162314e-05,5.04984541e-05,9.76e-04
5,3.79236181e-05,3.32253156e-05,9.57e-04
6,2.73101008e-05,2.46210232e-05,9.33e-04
7,2.36508690e-05,1.93942897e-05,9.05e-04
8,2.09776474e-05,1.60176410e-05,8.72e-04
9,1.67773732e-05,1.33115056e-05,8.35e-04
10,1.46875112e-05,1.20442731e-05,7.94e-04
11,1.39512258e-05,9.97170886e-06,7.50e-04
12,1.32108907e-05,1.06222503e-05,7.03e-04
13,1.25253881e-05,1.03057806e-05,6.55e-04
14,1.24645828e-05,1.42976938e-05,6.04e-04
15,1.22990632e-05,7.18612571e-06,5.52e-04
16,8.77933635e-06,7.06665126e-06,5.00e-04
17,1.24185524e-05,8.06923041e-06,4.48e-04
18,8.76914018e-06,8.13178869e-06,3.96e-04
19,8.26612737e-06,6.24426339e-06,3.45e-04
20,7.94782518e-06,5.90466379e-06,2.97e-04
21,7.93068660e-06,6.90446346e-06,2.50e-04
22,7.27867280e-06,6.29049148e-06,2.06e-04
23,6.76375269e-06,5.42693334e-06,1.65e-04
24,7.12588687e-06,5.62296861e-06,1.28e-04
25,6.46472998e-06,4.79211326e-06,9.55e-05
26,6.11474186e-06,4.74960624e-06,6.70e-05
27,5.78573766e-06,4.51320211e-06,4.32e-05
28,5.40004494e-06,4.51036912e-06,2.45e-05
29,5.45250008e-06,4.51247324e-06,1.09e-05
30,6.04099911e-06,4.46419202e-06,2.74e-06
