epoch,train_loss,val_loss,lr
1,2.15125890e-02,4.43640557e-02,1.00e-03
2,4.77709251e-04,2.85562787e-03,9.97e-04
3,1.32412852e-04,1.24878041e-04,9.89e-04
4,6.81961114e-05,5.36289330e-05,9.76e-04
5,4.70503173e-05,3.81484384e-05,9.57e-04
6,3.44554567e-05,2.86195274e-05,9.33e-04
7,2.80791808e-05,2.41193406e-05,9.05e-04
8,2.27845461e-05,2.00327256e-05,8.72e-04
9,2.07463600e-05,1.80701880e-05,8.35e-04
10,1.93287409e-05,1.56096768e-05,7.94e-04
11,1.59475806e-05,1.40169986e-05,7.50e-04
12,1.78561755e-05,1.26809338e-05,7.03e-04
13,1.43737139e-05,1.19698892e-05,6.55e-04
14,1.23424966e-05,1.32031342e-05,6.04e-04
15,1.47626941e-05,1.05871438e-05,5.52e-04
16,1.39584331e-05,9.42087982e-06,5.00e-04
17,1.25714405e-05,8.74832401e-06,4.48e-04
18,1.08883046e-05,9.16586416e-06,3.96e-04
19,1.06438798e-05,7.66056865e-06,3.45e-04
20,9.58320943e-06,7.27040719e-06,2.97e-04
21,9.39941363e-06,7.10172810e-06,2.50e-04
22,8.68734520e-06,6.78600023e-06,2.06e-04
23,8.59787370e-06,6.84808879e-06,1.65e-04
24,9.04745009e-06,6.45459143e-06,1.28e-04
25,8.76690042e-06,6.44905084e-06,9.55e-05
26,7.46223195e-06,6.29526053e-06,6.70e-05
27,8.10523084e-06,6.63337146e-06,4.32e-05
28,7.27616793e-06,6.21629522e-06,2.45e-05
29,8.50118237e-06,6.21884261e-06,1.09e-05
30,7.43996073e-06,6.20662161e-06,2.74e-06
